Profile Id,Opportunity Id,Opportunity Name,Opportunity Category,Opportunity End Date,Gender,City,Country,Current Student Status,Current/Intended Major,Status Description,Opportunity Start Date,Reward Amount,Badge Name,Skill Points Earned,Skills Earned
0374b5a1-f4b9-455a-a7ff-76ed242628c4,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Pedana,India,Graduate Program Student,Others,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
03965995-5794-4007-b18b-36dc079d4395,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Bengaluru,India,High School Student,Others,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
04346ea5-1e5c-4285-8fc9-86e49074ea04,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Hyderabad,India,Undergraduate Student,Computer Science and Information Systems,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
045c2ba5-b145-4b00-8033-408773d775bd,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Ile Ife,Nigeria,Not in Education,Others,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
04e57928-5a38-4717-873e-873af628d2e4,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Maiduguri,Nigeria,Undergraduate Student,Others,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
04e80aaf-083d-447b-b129-81abd3154913,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Gujranwala,Pakistan,Graduate Program Student,Others,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
04f147c0-5417-4e35-b110-b84b0e2778e7,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Lahore Pak,Pakistan,Undergraduate Student,Others,Team Allocated,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
05041c2c-aa95-49b2-a0cf-9c25bfc0440a,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Saint Louis,United States,Graduate Program Student,Information Systems,Team Allocated,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
05260d76-1fe1-434f-ba51-21551aef206f,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Kigali,Rwanda,Undergraduate Student,Others,Rewards Award,2022-11-03 18:30:39,200,Career Essentials: Getting Started with Your Professional Journey,137,"[""Critical Thinking"",""Creative Thinking"",""Communication"",""Technology Literacy"",""Initiative""]"
05893c77-4d38-4dac-becd-00341d416cf2,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Pemba,Zambia,Undergraduate Student,Others,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
